position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
6.800000000e+00       -5.565749463e+01            -3.649092306e+00                5.804639590e+01                1.397480186e+00                      -1.260191042e+00                    -5.790910676e+01                1.077640599e+15     1.074757653e+15        
6.850000000e+00       -5.598238286e+01            -3.675728017e+00                5.836824098e+01                1.408824863e+00                      -1.289869897e+00                    -5.824928601e+01                1.073646691e+15     1.070601341e+15        
6.900000000e+00       -5.630564682e+01            -3.702363727e+00                5.868881332e+01                1.420185888e+00                      -1.319197223e+00                    -5.858782466e+01                1.069671152e+15     1.066461094e+15        
6.950000000e+00       -5.662728350e+01            -3.728999437e+00                5.900811618e+01                1.431563275e+00                      -1.348166755e+00                    -5.892471966e+01                1.065713860e+15     1.062336854e+15        
7.000000000e+00       -5.694729006e+01            -3.755635148e+00                5.932615262e+01                1.442957037e+00                      -1.376772581e+00                    -5.925996817e+01                1.061774689e+15     1.058228562e+15        
7.050000000e+00       -5.726566386e+01            -3.782270858e+00                5.964292556e+01                1.454367187e+00                      -1.405009148e+00                    -5.959356753e+01                1.057853513e+15     1.054136160e+15        
7.100000000e+00       -5.758240244e+01            -3.808906568e+00                5.995843774e+01                1.465793741e+00                      -1.432871263e+00                    -5.992551526e+01                1.053950209e+15     1.050059590e+15        
7.150000000e+00       -5.789750353e+01            -3.835542278e+00                6.027269172e+01                1.477236711e+00                      -1.460354088e+00                    -6.025580910e+01                1.050064652e+15     1.045998794e+15        
7.200000000e+00       -5.821096507e+01            -3.862177989e+00                6.058568991e+01                1.488696111e+00                      -1.487453147e+00                    -6.058444694e+01                1.046196717e+15     1.041953715e+15        
7.250000000e+00       -5.852278514e+01            -3.888813699e+00                6.089743452e+01                1.500171954e+00                      -1.514164321e+00                    -6.091142688e+01                1.042346279e+15     1.037924295e+15        
